Player: 曹薰铉, Date: 1993-01-20, Rating: 3426, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1993-01-15, Rating: 3426, Black and White: 执黑, Result: 胜, Opponent: 李东奎
Player: 曹薰铉, Date: 1993-01-13, Rating: 3426, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1993-01-11, Rating: 3426, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1993-01-07, Rating: 3426, Black and White: 执黑, Result: 胜, Opponent: 徐能旭
Player: 曹薰铉, Date: 1993-01-04, Rating: 3427, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 赵治勋, Date: 1993-12-23, Rating: 3382, Black and White: 执黑, Result: 胜, Opponent: 加藤正夫
Player: 赵治勋, Date: 1993-12-16, Rating: 3382, Black and White: 执白, Result: 胜, Opponent: 依田纪基
Player: 赵治勋, Date: 1993-12-09, Rating: 3382, Black and White: 执黑, Result: 胜, Opponent: 加藤正夫
Player: 赵治勋, Date: 1993-12-02, Rating: 3383, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 赵治勋, Date: 1993-11-25, Rating: 3383, Black and White: 执黑, Result: 负, Opponent: 加藤正夫
Player: 赵治勋, Date: 1993-11-18, Rating: 3383, Black and White: 执白, Result: 胜, Opponent: 俞斌
Player: 赵治勋, Date: 1993-11-04, Rating: 3384, Black and White: 执白, Result: 胜, Opponent: 大竹英雄
Player: 赵治勋, Date: 1993-10-07, Rating: 3384, Black and White: 执白, Result: 负, Opponent: 东野弘昭
Player: 赵治勋, Date: 1993-09-23, Rating: 3385, Black and White: 执黑, Result: 胜, Opponent: 羽根泰正
Player: 赵治勋, Date: 1993-09-11, Rating: 3385, Black and White: 执黑, Result: 胜, Opponent: 加藤正夫
Player: 赵治勋, Date: 1993-09-09, Rating: 3385, Black and White: 执白, Result: 胜, Opponent: 今村俊也
Player: 赵治勋, Date: 1993-09-05, Rating: 3385, Black and White: 执黑, Result: 胜, Opponent: 柳时熏
Player: 赵治勋, Date: 1993-09-02, Rating: 3385, Black and White: 执黑, Result: 胜, Opponent: 武宫正树
Player: 赵治勋, Date: 1993-08-26, Rating: 3385, Black and White: 执白, Result: 负, Opponent: 加藤正夫
Player: 赵治勋, Date: 1993-08-12, Rating: 3385, Black and White: 执黑, Result: 胜, Opponent: 藤泽秀行
Player: 赵治勋, Date: 1993-08-09, Rating: 3385, Black and White: 执黑, Result: 胜, Opponent: 小林觉
Player: 赵治勋, Date: 1993-08-05, Rating: 3385, Black and White: 执黑, Result: 胜, Opponent: 林海峰
Player: 赵治勋, Date: 1993-07-29, Rating: 3385, Black and White: 执白, Result: 胜, Opponent: 郡寿男
Player: 赵治勋, Date: 1993-07-22, Rating: 3385, Black and White: 执黑, Result: 胜, Opponent: 大竹英雄
Player: 赵治勋, Date: 1993-07-12, Rating: 3385, Black and White: 执黑, Result: 胜, Opponent: 中小野田智己
Player: 赵治勋, Date: 1993-07-08, Rating: 3384, Black and White: 执黑, Result: 胜, Opponent: 王立诚
Player: 赵治勋, Date: 1993-06-29, Rating: 3384, Black and White: 执黑, Result: 胜, Opponent: 山城宏
Player: 赵治勋, Date: 1993-06-24, Rating: 3384, Black and White: 执白, Result: 胜, Opponent: 山城宏
Player: 赵治勋, Date: 1993-06-21, Rating: 3383, Black and White: 执黑, Result: 胜, Opponent: 小林觉
Player: 赵治勋, Date: 1993-06-16, Rating: 3383, Black and White: 执黑, Result: 胜, Opponent: 山城宏
Player: 赵治勋, Date: 1993-06-08, Rating: 3382, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 赵治勋, Date: 1993-06-05, Rating: 3382, Black and White: 执黑, Result: 负, Opponent: 淡路修三
Player: 赵治勋, Date: 1993-05-24, Rating: 3381, Black and White: 执白, Result: 负, Opponent: 山城宏
Player: 赵治勋, Date: 1993-05-13, Rating: 3381, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 赵治勋, Date: 1993-05-07, Rating: 3380, Black and White: 执黑, Result: 胜, Opponent: 山城宏
Player: 赵治勋, Date: 1993-04-24, Rating: 3379, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 赵治勋, Date: 1993-04-22, Rating: 3379, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 赵治勋, Date: 1993-04-15, Rating: 3379, Black and White: 执白, Result: 负, Opponent: 依田纪基
Player: 赵治勋, Date: 1993-04-08, Rating: 3379, Black and White: 执白, Result: 胜, Opponent: 片冈聪
Player: 赵治勋, Date: 1993-04-05, Rating: 3378, Black and White: 执白, Result: 胜, Opponent: 聂卫平
Player: 赵治勋, Date: 1993-04-03, Rating: 3378, Black and White: 执黑, Result: 胜, Opponent: 麦克雷蒙
Player: 赵治勋, Date: 1993-04-01, Rating: 3378, Black and White: 执白, Result: 负, Opponent: 林海峰
Player: 赵治勋, Date: 1993-03-25, Rating: 3378, Black and White: 执黑, Result: 负, Opponent: 森田道博
Player: 赵治勋, Date: 1993-03-18, Rating: 3378, Black and White: 执黑, Result: 胜, Opponent: 石田芳夫
Player: 赵治勋, Date: 1993-03-04, Rating: 3377, Black and White: 执黑, Result: 胜, Opponent: 淡路修三
Player: 赵治勋, Date: 1993-02-18, Rating: 3377, Black and White: 执黑, Result: 胜, Opponent: 苑田勇一
Player: 赵治勋, Date: 1993-02-11, Rating: 3377, Black and White: 执黑, Result: 胜, Opponent: 聂卫平
Player: 赵治勋, Date: 1993-02-09, Rating: 3377, Black and White: 执白, Result: 胜, Opponent: 聂卫平
Player: 赵治勋, Date: 1993-02-06, Rating: 3376, Black and White: 执黑, Result: 负, Opponent: 加藤正夫
Player: 赵治勋, Date: 1993-02-04, Rating: 3376, Black and White: 执白, Result: 负, Opponent: 依田纪基
Player: 赵治勋, Date: 1993-01-28, Rating: 3376, Black and White: 执白, Result: 负, Opponent: 武宫正树
Player: 赵治勋, Date: 1993-01-22, Rating: 3376, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 马晓春, Date: 1993-12-29, Rating: 3381, Black and White: 执白, Result: 胜, Opponent: 曹大元
Player: 马晓春, Date: 1993-12-27, Rating: 3381, Black and White: 执黑, Result: 胜, Opponent: 曹大元
Player: 马晓春, Date: 1993-12-17, Rating: 3380, Black and White: 执黑, Result: 负, Opponent: 小林光一
Player: 马晓春, Date: 1993-12-16, Rating: 3380, Black and White: 执白, Result: 负, Opponent: 小林光一
Player: 马晓春, Date: 1993-12-14, Rating: 3380, Black and White: 执黑, Result: 胜, Opponent: 小林光一
Player: 马晓春, Date: 1993-11-18, Rating: 3379, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 马晓春, Date: 1993-11-14, Rating: 3379, Black and White: 执白, Result: 负, Opponent: 小松英树
Player: 马晓春, Date: 1993-11-03, Rating: 3379, Black and White: 执黑, Result: 胜, Opponent: 钱宇平
Player: 马晓春, Date: 1993-10-31, Rating: 3379, Black and White: 执白, Result: 胜, Opponent: 钱宇平
Player: 马晓春, Date: 1993-10-15, Rating: 3378, Black and White: 执白, Result: 负, Opponent: 聂卫平
Player: 马晓春, Date: 1993-10-13, Rating: 3378, Black and White: 执黑, Result: 胜, Opponent: 陈临新
Player: 马晓春, Date: 1993-10-08, Rating: 3378, Black and White: 执白, Result: 负, Opponent: 杨晖
Player: 马晓春, Date: 1993-10-06, Rating: 3378, Black and White: 执黑, Result: 胜, Opponent: 曹大元
Player: 马晓春, Date: 1993-10-04, Rating: 3378, Black and White: 执白, Result: 胜, Opponent: 邵炜刚
Player: 马晓春, Date: 1993-09-13, Rating: 3377, Black and White: 执黑, Result: 胜, Opponent: 聂卫平
Player: 马晓春, Date: 1993-09-07, Rating: 3377, Black and White: 执白, Result: 胜, Opponent: 钱宇平
Player: 马晓春, Date: 1993-08-14, Rating: 3376, Black and White: 执白, Result: 胜, Opponent: 曹大元
Player: 马晓春, Date: 1993-08-12, Rating: 3375, Black and White: 执黑, Result: 胜, Opponent: 曹大元
Player: 马晓春, Date: 1993-08-10, Rating: 3375, Black and White: 执白, Result: 胜, Opponent: 曹大元
Player: 马晓春, Date: 1993-07-27, Rating: 3374, Black and White: 执白, Result: 负, Opponent: 徐奉洙
