Player: 曹薰铉, Date: 1996-02-03, Rating: 3446, Black and White: 执黑, Result: 胜, Opponent: 洪太善
Player: 曹薰铉, Date: 1996-01-31, Rating: 3446, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1996-01-29, Rating: 3446, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1996-01-26, Rating: 3447, Black and White: 执白, Result: 负, Opponent: 马晓春
Player: 曹薰铉, Date: 1996-01-24, Rating: 3447, Black and White: 执黑, Result: 胜, Opponent: 马晓春
Player: 曹薰铉, Date: 1996-01-22, Rating: 3447, Black and White: 执白, Result: 负, Opponent: 马晓春
Player: 曹薰铉, Date: 1996-01-19, Rating: 3447, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1996-01-15, Rating: 3447, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1996-01-09, Rating: 3447, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1996-01-07, Rating: 3447, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1996-01-05, Rating: 3448, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1996-01-03, Rating: 3448, Black and White: 执黑, Result: 胜, Opponent: 尹盛铉
Player: 马晓春, Date: 1996-12-22, Rating: 3380, Black and White: 执黑, Result: 胜, Opponent: 华学明
Player: 马晓春, Date: 1996-12-21, Rating: 3380, Black and White: 执白, Result: 胜, Opponent: 方捷
Player: 马晓春, Date: 1996-12-18, Rating: 3380, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 马晓春, Date: 1996-12-12, Rating: 3381, Black and White: 执黑, Result: 胜, Opponent: 刘小光
Player: 马晓春, Date: 1996-12-07, Rating: 3381, Black and White: 执白, Result: 负, Opponent: 邵炜刚
Player: 马晓春, Date: 1996-10-25, Rating: 3386, Black and White: 执白, Result: 胜, Opponent: 刘小光
Player: 马晓春, Date: 1996-10-23, Rating: 3386, Black and White: 执白, Result: 胜, Opponent: 刘小光
Player: 马晓春, Date: 1996-10-21, Rating: 3386, Black and White: 执黑, Result: 负, Opponent: 刘小光
