Player: 李世石, Date: 2001-04-30, Rating: 3422, Black and White: 执白, Result: 胜, Opponent: 尹赫
Player: 李世石, Date: 2001-04-25, Rating: 3423, Black and White: 执黑, Result: 胜, Opponent: 金荣桓
Player: 李世石, Date: 2001-04-14, Rating: 3423, Black and White: 执黑, Result: 负, Opponent: 周俊勋
Player: 李世石, Date: 2001-04-06, Rating: 3423, Black and White: 执白, Result: 胜, Opponent: 朴正祥
Player: 李世石, Date: 2001-03-19, Rating: 3423, Black and White: 执黑, Result: 胜, Opponent: 李熙星
Player: 李世石, Date: 2001-03-06, Rating: 3423, Black and White: 执黑, Result: 负, Opponent: 尹盛铉
Player: 李世石, Date: 2001-02-27, Rating: 3424, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 李世石, Date: 2001-02-26, Rating: 3424, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 李世石, Date: 2001-02-23, Rating: 3424, Black and White: 执黑, Result: 胜, Opponent: 朴永训
Player: 李世石, Date: 2001-02-21, Rating: 3424, Black and White: 执黑, Result: 胜, Opponent: 崔明勋
Player: 李世石, Date: 2001-02-08, Rating: 3423, Black and White: 执白, Result: 胜, Opponent: 周鹤洋
Player: 李世石, Date: 2001-02-02, Rating: 3423, Black and White: 执黑, Result: 负, Opponent: 安永吉
Player: 刘昌赫, Date: 2001-12-28, Rating: 3405, Black and White: 执白, Result: 胜, Opponent: 尹奇铉
Player: 刘昌赫, Date: 2001-12-17, Rating: 3405, Black and White: 执黑, Result: 负, Opponent: 朴升哲
Player: 刘昌赫, Date: 2001-12-14, Rating: 3405, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 刘昌赫, Date: 2001-12-12, Rating: 3405, Black and White: 执黑, Result: 胜, Opponent: 赵大贤
Player: 刘昌赫, Date: 2001-12-11, Rating: 3405, Black and White: 执白, Result: 胜, Opponent: 金日焕
Player: 刘昌赫, Date: 2001-12-10, Rating: 3405, Black and White: 执黑, Result: 胜, Opponent: 徐能旭
Player: 刘昌赫, Date: 2001-12-04, Rating: 3405, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 刘昌赫, Date: 2001-12-02, Rating: 3405, Black and White: 执黑, Result: 胜, Opponent: 林宣根
Player: 刘昌赫, Date: 2001-11-30, Rating: 3406, Black and White: 执白, Result: 负, Opponent: 俞斌
Player: 刘昌赫, Date: 2001-11-29, Rating: 3406, Black and White: 执黑, Result: 胜, Opponent: 中野宽也
Player: 刘昌赫, Date: 2001-11-22, Rating: 3406, Black and White: 执黑, Result: 胜, Opponent: 刘星
Player: 刘昌赫, Date: 2001-11-16, Rating: 3406, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 刘昌赫, Date: 2001-11-13, Rating: 3406, Black and White: 执白, Result: 负, Opponent: 徐能旭
Player: 刘昌赫, Date: 2001-11-12, Rating: 3406, Black and White: 执白, Result: 胜, Opponent: 李相勋(大)
Player: 刘昌赫, Date: 2001-11-05, Rating: 3407, Black and White: 执黑, Result: 负, Opponent: 朴正祥
Player: 刘昌赫, Date: 2001-11-01, Rating: 3407, Black and White: 执白, Result: 胜, Opponent: 王煜辉
Player: 刘昌赫, Date: 2001-10-30, Rating: 3407, Black and White: 执黑, Result: 胜, Opponent: 韩钟振
Player: 刘昌赫, Date: 2001-10-26, Rating: 3407, Black and White: 执黑, Result: 胜, Opponent: 周鹤洋
Player: 刘昌赫, Date: 2001-10-22, Rating: 3408, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 刘昌赫, Date: 2001-10-18, Rating: 3408, Black and White: 执黑, Result: 胜, Opponent: 刘世振
Player: 刘昌赫, Date: 2001-10-11, Rating: 3408, Black and White: 执白, Result: 负, Opponent: 杨一80
Player: 刘昌赫, Date: 2001-10-05, Rating: 3409, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 刘昌赫, Date: 2001-09-27, Rating: 3409, Black and White: 执黑, Result: 胜, Opponent: 尹盛铉
Player: 刘昌赫, Date: 2001-09-25, Rating: 3410, Black and White: 执白, Result: 胜, Opponent: 李世石
Player: 刘昌赫, Date: 2001-09-22, Rating: 3410, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 刘昌赫, Date: 2001-09-20, Rating: 3410, Black and White: 执黑, Result: 胜, Opponent: 朴志恩
Player: 刘昌赫, Date: 2001-09-18, Rating: 3410, Black and White: 执白, Result: 胜, Opponent: 金明完
Player: 刘昌赫, Date: 2001-09-14, Rating: 3410, Black and White: 执白, Result: 胜, Opponent: 廉正勋
Player: 刘昌赫, Date: 2001-09-13, Rating: 3410, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 刘昌赫, Date: 2001-09-12, Rating: 3410, Black and White: 执白, Result: 负, Opponent: 徐能旭
Player: 刘昌赫, Date: 2001-09-11, Rating: 3410, Black and White: 执白, Result: 胜, Opponent: 姜勋(大)
Player: 刘昌赫, Date: 2001-09-06, Rating: 3410, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 刘昌赫, Date: 2001-09-03, Rating: 3410, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 刘昌赫, Date: 2001-08-31, Rating: 3410, Black and White: 执黑, Result: 负, Opponent: 马晓春
Player: 刘昌赫, Date: 2001-08-29, Rating: 3410, Black and White: 执白, Result: 胜, Opponent: 河野临
Player: 刘昌赫, Date: 2001-08-24, Rating: 3410, Black and White: 执黑, Result: 负, Opponent: 赵汉乘
Player: 刘昌赫, Date: 2001-08-21, Rating: 3411, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 刘昌赫, Date: 2001-08-10, Rating: 3411, Black and White: 执白, Result: 胜, Opponent: 崔明勋
Player: 刘昌赫, Date: 2001-08-01, Rating: 3411, Black and White: 执白, Result: 胜, Opponent: 赵汉乘
Player: 刘昌赫, Date: 2001-07-19, Rating: 3411, Black and White: 执白, Result: 胜, Opponent: 崔哲瀚
Player: 刘昌赫, Date: 2001-07-06, Rating: 3411, Black and White: 执黑, Result: 胜, Opponent: 梁宰豪
Player: 刘昌赫, Date: 2001-06-29, Rating: 3411, Black and White: 执白, Result: 胜, Opponent: 李相勋(大)
Player: 刘昌赫, Date: 2001-06-26, Rating: 3411, Black and White: 执黑, Result: 胜, Opponent: 王立诚
Player: 刘昌赫, Date: 2001-06-24, Rating: 3411, Black and White: 执白, Result: 胜, Opponent: 王立诚
Player: 刘昌赫, Date: 2001-06-22, Rating: 3411, Black and White: 执黑, Result: 负, Opponent: 王立诚
Player: 刘昌赫, Date: 2001-06-18, Rating: 3411, Black and White: 执黑, Result: 负, Opponent: 朴永训
Player: 刘昌赫, Date: 2001-06-14, Rating: 3411, Black and White: 执黑, Result: 胜, Opponent: 王立诚
Player: 刘昌赫, Date: 2001-06-12, Rating: 3411, Black and White: 执黑, Result: 胜, Opponent: 柳时熏
Player: 刘昌赫, Date: 2001-06-07, Rating: 3411, Black and White: 执白, Result: 胜, Opponent: 刘菁
Player: 刘昌赫, Date: 2001-05-27, Rating: 3411, Black and White: 执白, Result: 胜, Opponent: 邹俊杰
Player: 刘昌赫, Date: 2001-05-25, Rating: 3411, Black and White: 执黑, Result: 胜, Opponent: 王磊
Player: 刘昌赫, Date: 2001-05-17, Rating: 3410, Black and White: 执白, Result: 负, Opponent: 刘世振
Player: 刘昌赫, Date: 2001-05-10, Rating: 3410, Black and White: 执白, Result: 胜, Opponent: 汪洋
Player: 刘昌赫, Date: 2001-05-04, Rating: 3410, Black and White: 执白, Result: 胜, Opponent: 李圣宰
Player: 刘昌赫, Date: 2001-04-29, Rating: 3410, Black and White: 执黑, Result: 胜, Opponent: 孔杰
Player: 刘昌赫, Date: 2001-04-23, Rating: 3409, Black and White: 执黑, Result: 胜, Opponent: 睦镇硕
Player: 刘昌赫, Date: 2001-04-20, Rating: 3409, Black and White: 执黑, Result: 胜, Opponent: 李圣宰
Player: 刘昌赫, Date: 2001-04-16, Rating: 3409, Black and White: 执白, Result: 负, Opponent: 林海峰
Player: 刘昌赫, Date: 2001-04-05, Rating: 3408, Black and White: 执白, Result: 胜, Opponent: 李华嵩
Player: 刘昌赫, Date: 2001-03-07, Rating: 3406, Black and White: 执黑, Result: 负, Opponent: 安祚永
Player: 刘昌赫, Date: 2001-02-23, Rating: 3406, Black and White: 执白, Result: 胜, Opponent: 林宣根
Player: 刘昌赫, Date: 2001-02-21, Rating: 3406, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 刘昌赫, Date: 2001-02-19, Rating: 3406, Black and White: 执白, Result: 胜, Opponent: 梁宰豪
Player: 刘昌赫, Date: 2001-02-13, Rating: 3406, Black and White: 执黑, Result: 胜, Opponent: 梁宰豪
Player: 刘昌赫, Date: 2001-02-06, Rating: 3405, Black and White: 执白, Result: 负, Opponent: 梁宰豪
Player: 刘昌赫, Date: 2001-02-05, Rating: 3405, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 刘昌赫, Date: 2001-01-28, Rating: 3405, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 刘昌赫, Date: 2001-01-17, Rating: 3405, Black and White: 执黑, Result: 胜, Opponent: 江铸久
Player: 刘昌赫, Date: 2001-01-15, Rating: 3405, Black and White: 执黑, Result: 胜, Opponent: 林宣根
Player: 刘昌赫, Date: 2001-01-12, Rating: 3405, Black and White: 执黑, Result: 胜, Opponent: 尹炫皙
Player: 刘昌赫, Date: 2001-01-09, Rating: 3405, Black and White: 执黑, Result: 负, Opponent: 崔圭丙
Player: 刘昌赫, Date: 2001-01-05, Rating: 3405, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 常昊, Date: 2001-12-27, Rating: 3392, Black and White: 执白, Result: 负, Opponent: 马晓春
Player: 常昊, Date: 2001-12-26, Rating: 3392, Black and White: 执黑, Result: 胜, Opponent: 马晓春
Player: 常昊, Date: 2001-12-24, Rating: 3393, Black and White: 执白, Result: 负, Opponent: 马晓春
Player: 常昊, Date: 2001-12-22, Rating: 3393, Black and White: 执黑, Result: 胜, Opponent: 谢赫
Player: 常昊, Date: 2001-12-14, Rating: 3393, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 常昊, Date: 2001-12-12, Rating: 3394, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 常昊, Date: 2001-12-11, Rating: 3394, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 常昊, Date: 2001-12-06, Rating: 3394, Black and White: 执黑, Result: 负, Opponent: 马晓春
Player: 常昊, Date: 2001-12-04, Rating: 3394, Black and White: 执白, Result: 胜, Opponent: 马晓春
