Player: 小林光一, Date: 1981-08-19, Rating: 3322, Black and White: 执黑, Result: 胜, Opponent: 淡路修三
Player: 小林光一, Date: 1981-08-13, Rating: 3321, Black and White: 执白, Result: 负, Opponent: 加藤正夫
Player: 小林光一, Date: 1981-07-23, Rating: 3318, Black and White: 执黑, Result: 胜, Opponent: 石田章
Player: 小林光一, Date: 1981-07-18, Rating: 3317, Black and White: 执黑, Result: 负, Opponent: 林海峰
Player: 小林光一, Date: 1981-07-15, Rating: 3317, Black and White: 执黑, Result: 胜, Opponent: 山部俊郎
Player: 小林光一, Date: 1981-06-18, Rating: 3314, Black and White: 执白, Result: 胜, Opponent: 岛村俊广
Player: 小林光一, Date: 1981-06-11, Rating: 3313, Black and White: 执白, Result: 负, Opponent: 加藤正夫
Player: 小林光一, Date: 1981-05-21, Rating: 3310, Black and White: 执黑, Result: 胜, Opponent: 宫本直毅
Player: 小林光一, Date: 1981-05-07, Rating: 3309, Black and White: 执黑, Result: 负, Opponent: 东野弘昭
Player: 小林光一, Date: 1981-04-02, Rating: 3305, Black and White: 执白, Result: 胜, Opponent: 佐藤昌晴
Player: 小林光一, Date: 1981-03-26, Rating: 3305, Black and White: 执黑, Result: 负, Opponent: 大竹英雄
Player: 小林光一, Date: 1981-02-19, Rating: 3302, Black and White: 执黑, Result: 胜, Opponent: 加田克司
Player: 小林光一, Date: 1981-02-12, Rating: 3301, Black and White: 执黑, Result: 负, Opponent: 桥本昌二
Player: 小林光一, Date: 1981-02-05, Rating: 3301, Black and White: 执黑, Result: 负, Opponent: 武宫正树
Player: 小林光一, Date: 1981-01-22, Rating: 3300, Black and White: 执黑, Result: 胜, Opponent: 本田邦久
Player: 小林光一, Date: 1981-01-18, Rating: 3300, Black and White: 执黑, Result: 负, Opponent: 坂田荣男
Player: 小林光一, Date: 1981-01-08, Rating: 3299, Black and White: 执白, Result: 负, Opponent: 林海峰
Player: 林海峰, Date: 1981-12-24, Rating: 3289, Black and White: 执黑, Result: 负, Opponent: 武宫正树
Player: 林海峰, Date: 1981-12-19, Rating: 3289, Black and White: 执白, Result: 负, Opponent: 大竹英雄
Player: 林海峰, Date: 1981-12-03, Rating: 3290, Black and White: 执白, Result: 胜, Opponent: 羽根泰正
Player: 林海峰, Date: 1981-11-26, Rating: 3291, Black and White: 执白, Result: 胜, Opponent: 桥本宇太郎
Player: 林海峰, Date: 1981-11-19, Rating: 3291, Black and White: 执白, Result: 胜, Opponent: 小林光一
Player: 林海峰, Date: 1981-11-12, Rating: 3291, Black and White: 执黑, Result: 胜, Opponent: 小林光一
Player: 林海峰, Date: 1981-10-29, Rating: 3291, Black and White: 执黑, Result: 胜, Opponent: 淡路修三
Player: 林海峰, Date: 1981-10-22, Rating: 3290, Black and White: 执白, Result: 胜, Opponent: 长谷川直
Player: 林海峰, Date: 1981-10-11, Rating: 3290, Black and White: 执黑, Result: 负, Opponent: 石井邦生
Player: 林海峰, Date: 1981-10-08, Rating: 3290, Black and White: 执白, Result: 胜, Opponent: 白石裕
Player: 林海峰, Date: 1981-09-17, Rating: 3290, Black and White: 执白, Result: 负, Opponent: 桥本昌二
Player: 林海峰, Date: 1981-08-13, Rating: 3290, Black and White: 执白, Result: 胜, Opponent: 武宫正树
Player: 林海峰, Date: 1981-07-29, Rating: 3289, Black and White: 执白, Result: 负, Opponent: 淡路修三
Player: 林海峰, Date: 1981-07-18, Rating: 3289, Black and White: 执白, Result: 胜, Opponent: 小林光一
Player: 林海峰, Date: 1981-07-15, Rating: 3289, Black and White: 执白, Result: 负, Opponent: 石田芳夫
Player: 林海峰, Date: 1981-07-02, Rating: 3289, Black and White: 执白, Result: 负, Opponent: 石田芳夫
Player: 林海峰, Date: 1981-06-25, Rating: 3289, Black and White: 执黑, Result: 胜, Opponent: 佐藤昌晴
Player: 林海峰, Date: 1981-06-18, Rating: 3289, Black and White: 执白, Result: 负, Opponent: 白石裕
Player: 林海峰, Date: 1981-06-11, Rating: 3290, Black and White: 执黑, Result: 胜, Opponent: 坂田荣男
Player: 林海峰, Date: 1981-05-27, Rating: 3290, Black and White: 执白, Result: 胜, Opponent: 山部俊郎
Player: 林海峰, Date: 1981-05-14, Rating: 3290, Black and White: 执白, Result: 负, Opponent: 小岛高穗
Player: 林海峰, Date: 1981-05-07, Rating: 3290, Black and White: 执黑, Result: 负, Opponent: 酒井猛
Player: 林海峰, Date: 1981-04-23, Rating: 3291, Black and White: 执黑, Result: 胜, Opponent: 加藤正夫
Player: 林海峰, Date: 1981-04-16, Rating: 3292, Black and White: 执白, Result: 负, Opponent: 大竹英雄
Player: 林海峰, Date: 1981-04-02, Rating: 3292, Black and White: 执黑, Result: 胜, Opponent: 梶原武雄
Player: 林海峰, Date: 1981-03-19, Rating: 3293, Black and White: 执黑, Result: 胜, Opponent: 岛村俊广
Player: 林海峰, Date: 1981-03-12, Rating: 3294, Black and White: 执白, Result: 胜, Opponent: 桥本昌二
Player: 林海峰, Date: 1981-02-19, Rating: 3294, Black and White: 执白, Result: 胜, Opponent: 坂田荣男
Player: 林海峰, Date: 1981-02-12, Rating: 3294, Black and White: 执黑, Result: 胜, Opponent: 白石裕
Player: 林海峰, Date: 1981-01-29, Rating: 3294, Black and White: 执黑, Result: 负, Opponent: 赵治勋
Player: 林海峰, Date: 1981-01-17, Rating: 3294, Black and White: 执黑, Result: 负, Opponent: 坂田荣男
Player: 林海峰, Date: 1981-01-08, Rating: 3295, Black and White: 执黑, Result: 胜, Opponent: 小林光一
Player: 武宫正树, Date: 1981-12-24, Rating: 3294, Black and White: 执白, Result: 胜, Opponent: 林海峰
Player: 武宫正树, Date: 1981-12-09, Rating: 3295, Black and White: 执白, Result: 胜, Opponent: 坂田荣男
Player: 武宫正树, Date: 1981-11-26, Rating: 3295, Black and White: 执白, Result: 胜, Opponent: 桑田泰明
Player: 武宫正树, Date: 1981-11-19, Rating: 3295, Black and White: 执黑, Result: 胜, Opponent: 桥本昌二
Player: 武宫正树, Date: 1981-11-15, Rating: 3295, Black and White: 执白, Result: 胜, Opponent: 清成哲也
Player: 武宫正树, Date: 1981-10-29, Rating: 3295, Black and White: 执白, Result: 负, Opponent: 小林光一
Player: 武宫正树, Date: 1981-10-08, Rating: 3295, Black and White: 执黑, Result: 胜, Opponent: 加藤正夫
Player: 武宫正树, Date: 1981-09-24, Rating: 3294, Black and White: 执白, Result: 负, Opponent: 桥本昌二
Player: 武宫正树, Date: 1981-09-12, Rating: 3294, Black and White: 执黑, Result: 胜, Opponent: 山城宏
Player: 武宫正树, Date: 1981-09-03, Rating: 3294, Black and White: 执白, Result: 胜, Opponent: 安倍吉辉
Player: 武宫正树, Date: 1981-08-13, Rating: 3294, Black and White: 执黑, Result: 负, Opponent: 林海峰
Player: 武宫正树, Date: 1981-07-23, Rating: 3294, Black and White: 执黑, Result: 胜, Opponent: 大竹英雄
Player: 武宫正树, Date: 1981-07-15, Rating: 3294, Black and White: 执白, Result: 负, Opponent: 赵治勋
Player: 武宫正树, Date: 1981-07-08, Rating: 3293, Black and White: 执黑, Result: 胜, Opponent: 赵治勋
Player: 武宫正树, Date: 1981-07-02, Rating: 3293, Black and White: 执白, Result: 负, Opponent: 佐藤昌晴
Player: 武宫正树, Date: 1981-06-23, Rating: 3293, Black and White: 执白, Result: 胜, Opponent: 赵治勋
Player: 武宫正树, Date: 1981-06-16, Rating: 3293, Black and White: 执黑, Result: 负, Opponent: 赵治勋
Player: 武宫正树, Date: 1981-06-03, Rating: 3293, Black and White: 执白, Result: 负, Opponent: 赵治勋
Player: 武宫正树, Date: 1981-05-26, Rating: 3293, Black and White: 执黑, Result: 负, Opponent: 赵治勋
Player: 武宫正树, Date: 1981-05-14, Rating: 3293, Black and White: 执白, Result: 胜, Opponent: 岛村俊广
Player: 武宫正树, Date: 1981-05-07, Rating: 3293, Black and White: 执黑, Result: 胜, Opponent: 桥本谊
Player: 武宫正树, Date: 1981-04-25, Rating: 3293, Black and White: 执黑, Result: 胜, Opponent: 羽根泰正
Player: 武宫正树, Date: 1981-04-02, Rating: 3293, Black and White: 执黑, Result: 胜, Opponent: 坂田荣男
Player: 武宫正树, Date: 1981-03-05, Rating: 3292, Black and White: 执白, Result: 负, Opponent: 加藤正夫
Player: 武宫正树, Date: 1981-02-12, Rating: 3292, Black and White: 执黑, Result: 负, Opponent: 宫本直毅
Player: 武宫正树, Date: 1981-02-05, Rating: 3292, Black and White: 执白, Result: 胜, Opponent: 小林光一
Player: 武宫正树, Date: 1981-01-22, Rating: 3292, Black and White: 执白, Result: 负, Opponent: 工藤纪夫
