Player: 赵治勋, Date: 1997-05-22, Rating: 3357, Black and White: 执白, Result: 胜, Opponent: 东野弘昭
Player: 赵治勋, Date: 1997-05-12, Rating: 3356, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 赵治勋, Date: 1997-04-14, Rating: 3355, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 赵治勋, Date: 1997-04-07, Rating: 3355, Black and White: 执黑, Result: 负, Opponent: 小林光一
Player: 赵治勋, Date: 1997-03-27, Rating: 3354, Black and White: 执白, Result: 负, Opponent: 王铭琬
Player: 赵治勋, Date: 1997-03-20, Rating: 3354, Black and White: 执白, Result: 负, Opponent: 工藤纪夫
Player: 赵治勋, Date: 1997-02-26, Rating: 3354, Black and White: 执黑, Result: 胜, Opponent: 小林觉
Player: 赵治勋, Date: 1997-02-23, Rating: 3354, Black and White: 执白, Result: 负, Opponent: 本田邦久
Player: 赵治勋, Date: 1997-02-19, Rating: 3354, Black and White: 执白, Result: 胜, Opponent: 小林觉
Player: 赵治勋, Date: 1997-02-15, Rating: 3354, Black and White: 执黑, Result: 负, Opponent: 小林觉
Player: 赵治勋, Date: 1997-02-13, Rating: 3354, Black and White: 执白, Result: 负, Opponent: 小林觉
Player: 赵治勋, Date: 1997-02-05, Rating: 3354, Black and White: 执黑, Result: 负, Opponent: 小林觉
Player: 赵治勋, Date: 1997-01-29, Rating: 3354, Black and White: 执白, Result: 胜, Opponent: 小林觉
Player: 赵治勋, Date: 1997-01-15, Rating: 3355, Black and White: 执黑, Result: 胜, Opponent: 小林觉
Player: 赵治勋, Date: 1997-01-09, Rating: 3355, Black and White: 执白, Result: 胜, Opponent: 常昊
Player: 小林光一, Date: 1997-12-11, Rating: 3351, Black and White: 执黑, Result: 胜, Opponent: 加藤正夫
Player: 小林光一, Date: 1997-11-05, Rating: 3352, Black and White: 执白, Result: 负, Opponent: 赵治勋
Player: 小林光一, Date: 1997-10-31, Rating: 3352, Black and White: 执白, Result: 负, Opponent: 依田纪基
Player: 小林光一, Date: 1997-10-30, Rating: 3352, Black and White: 执黑, Result: 胜, Opponent: 中野泰宏
Player: 小林光一, Date: 1997-10-22, Rating: 3352, Black and White: 执黑, Result: 负, Opponent: 赵治勋
Player: 小林光一, Date: 1997-10-19, Rating: 3353, Black and White: 执黑, Result: 胜, Opponent: 王立诚
Player: 小林光一, Date: 1997-10-15, Rating: 3353, Black and White: 执白, Result: 负, Opponent: 赵治勋
Player: 小林光一, Date: 1997-10-04, Rating: 3354, Black and White: 执白, Result: 负, Opponent: 小林觉
Player: 小林光一, Date: 1997-10-01, Rating: 3354, Black and White: 执黑, Result: 胜, Opponent: 赵治勋
Player: 小林光一, Date: 1997-09-24, Rating: 3354, Black and White: 执白, Result: 负, Opponent: 赵治勋
Player: 小林光一, Date: 1997-09-10, Rating: 3355, Black and White: 执黑, Result: 胜, Opponent: 赵治勋
Player: 小林光一, Date: 1997-09-04, Rating: 3356, Black and White: 执黑, Result: 胜, Opponent: 结城聪
Player: 小林光一, Date: 1997-08-31, Rating: 3356, Black and White: 执黑, Result: 胜, Opponent: 小松英树
Player: 小林光一, Date: 1997-08-11, Rating: 3357, Black and White: 执黑, Result: 胜, Opponent: 王立诚
Player: 小林光一, Date: 1997-08-06, Rating: 3357, Black and White: 执白, Result: 负, Opponent: 彦坂直人
Player: 小林光一, Date: 1997-08-02, Rating: 3357, Black and White: 执白, Result: 胜, Opponent: 王立诚
Player: 小林光一, Date: 1997-07-24, Rating: 3357, Black and White: 执白, Result: 胜, Opponent: 武宫正树
Player: 小林光一, Date: 1997-07-10, Rating: 3358, Black and White: 执白, Result: 胜, Opponent: 东野弘昭
Player: 小林光一, Date: 1997-07-05, Rating: 3358, Black and White: 执黑, Result: 胜, Opponent: 周鹤洋
Player: 小林光一, Date: 1997-06-30, Rating: 3358, Black and White: 执白, Result: 胜, Opponent: 羽根泰正
Player: 小林光一, Date: 1997-06-29, Rating: 3358, Black and White: 执白, Result: 负, Opponent: 山田规三生
Player: 小林光一, Date: 1997-06-26, Rating: 3358, Black and White: 执黑, Result: 负, Opponent: 王铭琬
Player: 小林光一, Date: 1997-06-19, Rating: 3358, Black and White: 执白, Result: 胜, Opponent: 山城宏
Player: 小林光一, Date: 1997-06-12, Rating: 3358, Black and White: 执白, Result: 胜, Opponent: 林海峰
Player: 小林光一, Date: 1997-06-07, Rating: 3358, Black and White: 执黑, Result: 胜, Opponent: 常昊
Player: 小林光一, Date: 1997-05-12, Rating: 3358, Black and White: 执黑, Result: 负, Opponent: 俞斌
Player: 小林光一, Date: 1997-05-05, Rating: 3358, Black and White: 执黑, Result: 胜, Opponent: 加藤正夫
Player: 小林光一, Date: 1997-05-01, Rating: 3358, Black and White: 执黑, Result: 负, Opponent: 王立诚
Player: 小林光一, Date: 1997-04-28, Rating: 3358, Black and White: 执黑, Result: 胜, Opponent: 赵善津
Player: 小林光一, Date: 1997-04-24, Rating: 3358, Black and White: 执白, Result: 胜, Opponent: 柳时熏
Player: 小林光一, Date: 1997-04-19, Rating: 3358, Black and White: 执黑, Result: 胜, Opponent: 林海峰
Player: 小林光一, Date: 1997-04-14, Rating: 3358, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 小林光一, Date: 1997-04-07, Rating: 3358, Black and White: 执黑, Result: 胜, Opponent: 上村邦夫
Player: 小林光一, Date: 1997-04-07, Rating: 3358, Black and White: 执白, Result: 胜, Opponent: 赵治勋
Player: 小林光一, Date: 1997-03-27, Rating: 3357, Black and White: 执白, Result: 负, Opponent: 加藤正夫
Player: 小林光一, Date: 1997-03-24, Rating: 3357, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 小林光一, Date: 1997-03-16, Rating: 3356, Black and White: 执白, Result: 负, Opponent: 王立诚
Player: 小林光一, Date: 1997-03-09, Rating: 3356, Black and White: 执黑, Result: 胜, Opponent: 本田邦久
Player: 小林光一, Date: 1997-03-09, Rating: 3356, Black and White: 执白, Result: 负, Opponent: 结城聪
Player: 小林光一, Date: 1997-03-08, Rating: 3356, Black and White: 执黑, Result: 胜, Opponent: 结城聪
Player: 小林光一, Date: 1997-02-27, Rating: 3356, Black and White: 执黑, Result: 胜, Opponent: 杨嘉源
