Player: 朴廷桓, Date: 2023-02-06, Rating: 3686, Black and White: 执黑, Result: 负, Opponent: 李轩豪
Player: 朴廷桓, Date: 2023-02-04, Rating: 3686, Black and White: 执黑, Result: 胜, Opponent: 蒋其润
Player: 朴廷桓, Date: 2023-02-03, Rating: 3686, Black and White: 执黑, Result: 胜, Opponent: 安成浚
Player: 朴廷桓, Date: 2023-01-31, Rating: 3686, Black and White: 执白, Result: 胜, Opponent: 金彩瑛
Player: 朴廷桓, Date: 2023-01-26, Rating: 3685, Black and White: 执黑, Result: 胜, Opponent: 卞相壹
Player: 朴廷桓, Date: 2023-01-26, Rating: 3685, Black and White: 执白, Result: 负, Opponent: 卞相壹
Player: 朴廷桓, Date: 2023-01-23, Rating: 3685, Black and White: 执黑, Result: 胜, Opponent: 安国铉
Player: 朴廷桓, Date: 2023-01-21, Rating: 3685, Black and White: 执黑, Result: 胜, Opponent: 宋圭相
Player: 朴廷桓, Date: 2023-01-18, Rating: 3685, Black and White: 执白, Result: 胜, Opponent: 偰玹准
Player: 朴廷桓, Date: 2023-01-18, Rating: 3685, Black and White: 执黑, Result: 胜, Opponent: 金志锡
Player: 朴廷桓, Date: 2023-01-08, Rating: 3685, Black and White: 执黑, Result: 胜, Opponent: 许皓鋐
Player: 朴廷桓, Date: 2023-01-05, Rating: 3685, Black and White: 执黑, Result: 负, Opponent: 李映九
Player: 柯洁, Date: 2023-12-27, Rating: 3680, Black and White: 执白, Result: 胜, Opponent: 彭立尧
Player: 柯洁, Date: 2023-12-26, Rating: 3680, Black and White: 执白, Result: 胜, Opponent: 刘宇航
Player: 柯洁, Date: 2023-12-24, Rating: 3680, Black and White: 执白, Result: 胜, Opponent: 张铭康
Player: 柯洁, Date: 2023-12-21, Rating: 3680, Black and White: 执白, Result: 胜, Opponent: 黄静远
Player: 柯洁, Date: 2023-12-13, Rating: 3679, Black and White: 执白, Result: 负, Opponent: 申真谞
Player: 柯洁, Date: 2023-12-11, Rating: 3679, Black and White: 执黑, Result: 胜, Opponent: 韩升周
Player: 柯洁, Date: 2023-12-06, Rating: 3679, Black and White: 执白, Result: 负, Opponent: 辜梓豪
Player: 柯洁, Date: 2023-11-28, Rating: 3679, Black and White: 执黑, Result: 胜, Opponent: 杨鼎新
Player: 柯洁, Date: 2023-11-13, Rating: 3678, Black and White: 执白, Result: 胜, Opponent: 谢尔豪
Player: 柯洁, Date: 2023-11-11, Rating: 3678, Black and White: 执黑, Result: 负, Opponent: 芈昱廷
Player: 柯洁, Date: 2023-11-10, Rating: 3678, Black and White: 执白, Result: 胜, Opponent: 芈昱廷
Player: 柯洁, Date: 2023-11-08, Rating: 3678, Black and White: 执黑, Result: 负, Opponent: 芈昱廷
