Player: 大竹英雄, Date: 1983-03-13, Rating: 3327, Black and White: 执白, Result: 胜, Opponent: 武宫正树
Player: 大竹英雄, Date: 1983-03-10, Rating: 3327, Black and White: 执白, Result: 负, Opponent: 苑田勇一
Player: 大竹英雄, Date: 1983-02-20, Rating: 3328, Black and White: 执黑, Result: 胜, Opponent: 加藤正夫
Player: 大竹英雄, Date: 1983-02-20, Rating: 3328, Black and White: 执黑, Result: 胜, Opponent: 石井新藏
Player: 大竹英雄, Date: 1983-02-10, Rating: 3328, Black and White: 执白, Result: 胜, Opponent: 坂田荣男
Player: 大竹英雄, Date: 1983-02-06, Rating: 3328, Black and White: 执白, Result: 胜, Opponent: 藤泽秀行
Player: 大竹英雄, Date: 1983-01-20, Rating: 3328, Black and White: 执黑, Result: 胜, Opponent: 小林光一
Player: 大竹英雄, Date: 1983-01-13, Rating: 3328, Black and White: 执黑, Result: 负, Opponent: 杉内雅男
Player: 林海峰, Date: 1983-12-25, Rating: 3326, Black and White: 执黑, Result: 胜, Opponent: 桥本昌二
Player: 林海峰, Date: 1983-12-08, Rating: 3328, Black and White: 执白, Result: 胜, Opponent: 苑田勇一
Player: 林海峰, Date: 1983-12-01, Rating: 3328, Black and White: 执黑, Result: 胜, Opponent: 苑田勇一
Player: 林海峰, Date: 1983-11-24, Rating: 3328, Black and White: 执黑, Result: 胜, Opponent: 小林觉
Player: 林海峰, Date: 1983-11-17, Rating: 3329, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 林海峰, Date: 1983-10-27, Rating: 3329, Black and White: 执黑, Result: 胜, Opponent: 今村俊也
Player: 林海峰, Date: 1983-10-13, Rating: 3329, Black and White: 执白, Result: 胜, Opponent: 清成哲也
Player: 林海峰, Date: 1983-10-06, Rating: 3329, Black and White: 执黑, Result: 负, Opponent: 大竹英雄
Player: 林海峰, Date: 1983-09-18, Rating: 3330, Black and White: 执白, Result: 负, Opponent: 坂田荣男
Player: 林海峰, Date: 1983-09-12, Rating: 3330, Black and White: 执黑, Result: 胜, Opponent: 赵治勋
Player: 林海峰, Date: 1983-09-01, Rating: 3330, Black and White: 执白, Result: 负, Opponent: 加藤正夫
Player: 林海峰, Date: 1983-08-18, Rating: 3331, Black and White: 执白, Result: 胜, Opponent: 白石裕
Player: 林海峰, Date: 1983-08-11, Rating: 3331, Black and White: 执黑, Result: 胜, Opponent: 坂田荣男
Player: 林海峰, Date: 1983-07-27, Rating: 3331, Black and White: 执黑, Result: 胜, Opponent: 赵治勋
Player: 林海峰, Date: 1983-07-21, Rating: 3331, Black and White: 执白, Result: 胜, Opponent: 小林光一
Player: 林海峰, Date: 1983-07-14, Rating: 3331, Black and White: 执白, Result: 胜, Opponent: 赵治勋
Player: 林海峰, Date: 1983-07-07, Rating: 3331, Black and White: 执黑, Result: 胜, Opponent: 宫本义久
Player: 林海峰, Date: 1983-06-29, Rating: 3331, Black and White: 执黑, Result: 胜, Opponent: 赵治勋
Player: 林海峰, Date: 1983-06-22, Rating: 3330, Black and White: 执白, Result: 胜, Opponent: 赵治勋
Player: 林海峰, Date: 1983-06-16, Rating: 3330, Black and White: 执白, Result: 负, Opponent: 东野弘昭
Player: 林海峰, Date: 1983-06-08, Rating: 3329, Black and White: 执黑, Result: 负, Opponent: 赵治勋
Player: 林海峰, Date: 1983-05-30, Rating: 3329, Black and White: 执白, Result: 胜, Opponent: 石博郁郎
Player: 林海峰, Date: 1983-05-25, Rating: 3329, Black and White: 执白, Result: 负, Opponent: 赵治勋
Player: 林海峰, Date: 1983-05-19, Rating: 3329, Black and White: 执黑, Result: 负, Opponent: 羽根泰正
Player: 林海峰, Date: 1983-05-16, Rating: 3329, Black and White: 执黑, Result: 负, Opponent: 赵治勋
Player: 林海峰, Date: 1983-05-12, Rating: 3329, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 林海峰, Date: 1983-05-02, Rating: 3328, Black and White: 执黑, Result: 胜, Opponent: 小林光一
Player: 林海峰, Date: 1983-04-28, Rating: 3328, Black and White: 执白, Result: 胜, Opponent: 石田章
