Player: 李昌镐, Date: 1989-10-26, Rating: 3390, Black and White: 执黑, Result: 胜, Opponent: 尹奇铉
Player: 李昌镐, Date: 1989-10-23, Rating: 3390, Black and White: 执黑, Result: 胜, Opponent: 姜晚寓
Player: 李昌镐, Date: 1989-10-19, Rating: 3388, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1989-10-12, Rating: 3387, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1989-10-10, Rating: 3386, Black and White: 执黑, Result: 胜, Opponent: 金秀壮
Player: 李昌镐, Date: 1989-10-05, Rating: 3385, Black and White: 执黑, Result: 胜, Opponent: 白成豪
Player: 李昌镐, Date: 1989-09-27, Rating: 3383, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1989-09-25, Rating: 3383, Black and White: 执黑, Result: 胜, Opponent: 张秀英
Player: 李昌镐, Date: 1989-09-20, Rating: 3382, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1989-09-18, Rating: 3381, Black and White: 执白, Result: 胜, Opponent: 金东烨
Player: 李昌镐, Date: 1989-09-11, Rating: 3380, Black and White: 执黑, Result: 胜, Opponent: 张秀英
Player: 李昌镐, Date: 1989-09-08, Rating: 3379, Black and White: 执白, Result: 胜, Opponent: 梁宰豪
Player: 李昌镐, Date: 1989-09-05, Rating: 3379, Black and White: 执黑, Result: 负, Opponent: 张秀英
Player: 李昌镐, Date: 1989-08-31, Rating: 3377, Black and White: 执白, Result: 胜, Opponent: 张秀英
Player: 李昌镐, Date: 1989-08-23, Rating: 3376, Black and White: 执黑, Result: 负, Opponent: 金秀壮
Player: 李昌镐, Date: 1989-08-08, Rating: 3373, Black and White: 执黑, Result: 胜, Opponent: 洪太善
Player: 李昌镐, Date: 1989-08-08, Rating: 3373, Black and White: 执黑, Result: 胜, Opponent: 金秀壮
Player: 李昌镐, Date: 1989-08-04, Rating: 3372, Black and White: 执黑, Result: 负, Opponent: 刘昌赫
Player: 李昌镐, Date: 1989-08-03, Rating: 3372, Black and White: 执黑, Result: 负, Opponent: 许壮会
Player: 李昌镐, Date: 1989-07-25, Rating: 3371, Black and White: 执白, Result: 胜, Opponent: 金秀壮
Player: 李昌镐, Date: 1989-07-24, Rating: 3371, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 李昌镐, Date: 1989-07-21, Rating: 3370, Black and White: 执黑, Result: 负, Opponent: 刘昌赫
Player: 李昌镐, Date: 1989-07-19, Rating: 3370, Black and White: 执黑, Result: 胜, Opponent: 徐能旭
Player: 李昌镐, Date: 1989-07-11, Rating: 3369, Black and White: 执黑, Result: 胜, Opponent: 张斗轸
Player: 李昌镐, Date: 1989-07-05, Rating: 3369, Black and White: 执白, Result: 胜, Opponent: 徐能旭
Player: 李昌镐, Date: 1989-06-22, Rating: 3367, Black and White: 执白, Result: 负, Opponent: 河灿锡
Player: 李昌镐, Date: 1989-06-20, Rating: 3367, Black and White: 执白, Result: 胜, Opponent: 白成豪
Player: 李昌镐, Date: 1989-06-19, Rating: 3367, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 李昌镐, Date: 1989-06-14, Rating: 3366, Black and White: 执黑, Result: 胜, Opponent: 郑寿铉
Player: 李昌镐, Date: 1989-06-12, Rating: 3366, Black and White: 执白, Result: 胜, Opponent: 梁宰豪
Player: 李昌镐, Date: 1989-06-09, Rating: 3366, Black and White: 执白, Result: 胜, Opponent: 张秀英
Player: 李昌镐, Date: 1989-05-25, Rating: 3364, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 李昌镐, Date: 1989-05-23, Rating: 3364, Black and White: 执黑, Result: 胜, Opponent: 崔圭丙
Player: 李昌镐, Date: 1989-05-19, Rating: 3364, Black and White: 执黑, Result: 胜, Opponent: 金秀壮
Player: 李昌镐, Date: 1989-05-02, Rating: 3362, Black and White: 执黑, Result: 胜, Opponent: 梁宰豪
Player: 李昌镐, Date: 1989-04-21, Rating: 3360, Black and White: 执白, Result: 胜, Opponent: 朴映璨
Player: 李昌镐, Date: 1989-04-19, Rating: 3360, Black and White: 执黑, Result: 胜, Opponent: 文明根
Player: 李昌镐, Date: 1989-04-13, Rating: 3359, Black and White: 执黑, Result: 负, Opponent: 姜勋(大)
Player: 李昌镐, Date: 1989-04-11, Rating: 3359, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1989-04-01, Rating: 3358, Black and White: 执白, Result: 负, Opponent: 王铭琬
Player: 李昌镐, Date: 1989-03-24, Rating: 3357, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1989-03-22, Rating: 3357, Black and White: 执白, Result: 负, Opponent: 郑大相
Player: 李昌镐, Date: 1989-03-20, Rating: 3357, Black and White: 执黑, Result: 胜, Opponent: 张秀英
Player: 李昌镐, Date: 1989-03-17, Rating: 3357, Black and White: 执黑, Result: 胜, Opponent: 洪钟贤
Player: 李昌镐, Date: 1989-03-07, Rating: 3357, Black and White: 执黑, Result: 胜, Opponent: 金熙中
Player: 李昌镐, Date: 1989-02-27, Rating: 3356, Black and White: 执白, Result: 胜, Opponent: 黄元俊
Player: 李昌镐, Date: 1989-02-09, Rating: 3356, Black and White: 执白, Result: 胜, Opponent: 金秀壮
Player: 李昌镐, Date: 1989-02-08, Rating: 3356, Black and White: 执黑, Result: 胜, Opponent: 罗钟勋
Player: 李昌镐, Date: 1989-02-02, Rating: 3355, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1989-01-26, Rating: 3355, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1989-01-19, Rating: 3355, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1989-01-18, Rating: 3355, Black and White: 执白, Result: 胜, Opponent: 金东勉
Player: 李昌镐, Date: 1989-01-12, Rating: 3355, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1989-01-06, Rating: 3355, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1989-01-04, Rating: 3354, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 刘昌赫, Date: 1989-12-16, Rating: 3325, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 刘昌赫, Date: 1989-12-13, Rating: 3325, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 刘昌赫, Date: 1989-12-01, Rating: 3326, Black and White: 执白, Result: 负, Opponent: 洪太善
