Player: 聂卫平, Date: 1990-05-06, Rating: 3371, Black and White: 执黑, Result: 胜, Opponent: 徐荣新
Player: 聂卫平, Date: 1990-05-04, Rating: 3371, Black and White: 执白, Result: 胜, Opponent: 梁伟棠
Player: 聂卫平, Date: 1990-04-29, Rating: 3371, Black and White: 执白, Result: 负, Opponent: 俞斌
Player: 聂卫平, Date: 1990-04-27, Rating: 3371, Black and White: 执黑, Result: 负, Opponent: 钱宇平
Player: 聂卫平, Date: 1990-04-25, Rating: 3372, Black and White: 执白, Result: 胜, Opponent: 刘小光
Player: 聂卫平, Date: 1990-04-09, Rating: 3372, Black and White: 执白, Result: 胜, Opponent: 大平修三
Player: 聂卫平, Date: 1990-02-11, Rating: 3374, Black and White: 执白, Result: 负, Opponent: 钱宇平
Player: 聂卫平, Date: 1990-02-09, Rating: 3374, Black and White: 执黑, Result: 胜, Opponent: 江铸久
Player: 聂卫平, Date: 1990-02-07, Rating: 3374, Black and White: 执黑, Result: 胜, Opponent: 马晓春
Player: 聂卫平, Date: 1990-02-05, Rating: 3374, Black and White: 执白, Result: 胜, Opponent: 吴肇毅
Player: 林海峰, Date: 1990-12-20, Rating: 3351, Black and White: 执白, Result: 负, Opponent: 苑田勇一
Player: 林海峰, Date: 1990-12-16, Rating: 3352, Black and White: 执黑, Result: 胜, Opponent: 加藤正夫
Player: 林海峰, Date: 1990-12-13, Rating: 3352, Black and White: 执白, Result: 胜, Opponent: 小松英树
Player: 林海峰, Date: 1990-12-10, Rating: 3352, Black and White: 执黑, Result: 胜, Opponent: 小林光一
Player: 林海峰, Date: 1990-12-06, Rating: 3352, Black and White: 执白, Result: 胜, Opponent: 王立诚
Player: 林海峰, Date: 1990-12-03, Rating: 3352, Black and White: 执黑, Result: 胜, Opponent: 曹大元
Player: 林海峰, Date: 1990-11-29, Rating: 3353, Black and White: 执白, Result: 胜, Opponent: 小林光一
Player: 林海峰, Date: 1990-11-23, Rating: 3353, Black and White: 执黑, Result: 胜, Opponent: 小林光一
Player: 林海峰, Date: 1990-11-15, Rating: 3352, Black and White: 执白, Result: 负, Opponent: 片冈聪
Player: 林海峰, Date: 1990-11-08, Rating: 3353, Black and White: 执黑, Result: 胜, Opponent: 上村邦夫
Player: 林海峰, Date: 1990-11-04, Rating: 3353, Black and White: 执黑, Result: 胜, Opponent: 高木祥一
Player: 林海峰, Date: 1990-11-01, Rating: 3352, Black and White: 执白, Result: 负, Opponent: 小林光一
Player: 林海峰, Date: 1990-10-25, Rating: 3353, Black and White: 执黑, Result: 胜, Opponent: 依田纪基
Player: 林海峰, Date: 1990-10-20, Rating: 3353, Black and White: 执黑, Result: 负, Opponent: 片冈聪
Player: 林海峰, Date: 1990-10-11, Rating: 3353, Black and White: 执黑, Result: 负, Opponent: 赵治勋
Player: 林海峰, Date: 1990-10-07, Rating: 3353, Black and White: 执黑, Result: 负, Opponent: 赵治勋
Player: 林海峰, Date: 1990-09-23, Rating: 3354, Black and White: 执白, Result: 胜, Opponent: 武宫正树
Player: 林海峰, Date: 1990-09-06, Rating: 3354, Black and White: 执白, Result: 胜, Opponent: 依田纪基
Player: 林海峰, Date: 1990-08-30, Rating: 3354, Black and White: 执黑, Result: 负, Opponent: 片冈聪
Player: 林海峰, Date: 1990-08-23, Rating: 3355, Black and White: 执黑, Result: 负, Opponent: 赵治勋
Player: 林海峰, Date: 1990-08-09, Rating: 3356, Black and White: 执白, Result: 胜, Opponent: 淡路修三
Player: 林海峰, Date: 1990-08-04, Rating: 3356, Black and White: 执黑, Result: 胜, Opponent: 聂卫平
Player: 林海峰, Date: 1990-07-19, Rating: 3356, Black and White: 执黑, Result: 胜, Opponent: 依田纪基
Player: 林海峰, Date: 1990-07-16, Rating: 3356, Black and White: 执黑, Result: 胜, Opponent: 聂卫平
