Player: 赵治勋, Date: 1998-02-18, Rating: 3351, Black and White: 执白, Result: 负, Opponent: 依田纪基
Player: 赵治勋, Date: 1998-02-14, Rating: 3351, Black and White: 执白, Result: 胜, Opponent: 小林觉
Player: 赵治勋, Date: 1998-02-12, Rating: 3351, Black and White: 执白, Result: 负, Opponent: 彦坂直人
Player: 赵治勋, Date: 1998-02-04, Rating: 3352, Black and White: 执黑, Result: 胜, Opponent: 依田纪基
Player: 赵治勋, Date: 1998-01-28, Rating: 3352, Black and White: 执白, Result: 胜, Opponent: 依田纪基
Player: 赵治勋, Date: 1998-01-23, Rating: 3353, Black and White: 执白, Result: 胜, Opponent: 周鹤洋
Player: 赵治勋, Date: 1998-01-14, Rating: 3353, Black and White: 执黑, Result: 胜, Opponent: 依田纪基
Player: 小林光一, Date: 1998-12-24, Rating: 3360, Black and White: 执白, Result: 负, Opponent: 酒井真树
Player: 小林光一, Date: 1998-12-17, Rating: 3361, Black and White: 执白, Result: 胜, Opponent: 工藤纪夫
Player: 小林光一, Date: 1998-12-10, Rating: 3361, Black and White: 执白, Result: 负, Opponent: 工藤纪夫
Player: 小林光一, Date: 1998-12-03, Rating: 3361, Black and White: 执黑, Result: 胜, Opponent: 工藤纪夫
Player: 小林光一, Date: 1998-11-28, Rating: 3361, Black and White: 执黑, Result: 胜, Opponent: 加藤正夫
Player: 小林光一, Date: 1998-11-19, Rating: 3361, Black and White: 执白, Result: 胜, Opponent: 依田纪基
Player: 小林光一, Date: 1998-11-12, Rating: 3361, Black and White: 执白, Result: 胜, Opponent: 工藤纪夫
Player: 小林光一, Date: 1998-11-05, Rating: 3361, Black and White: 执黑, Result: 负, Opponent: 工藤纪夫
Player: 小林光一, Date: 1998-10-29, Rating: 3361, Black and White: 执黑, Result: 胜, Opponent: 依田纪基
Player: 小林光一, Date: 1998-10-22, Rating: 3361, Black and White: 执白, Result: 胜, Opponent: 小林觉
Player: 小林光一, Date: 1998-10-15, Rating: 3361, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 小林光一, Date: 1998-10-01, Rating: 3360, Black and White: 执黑, Result: 胜, Opponent: 柳时熏
Player: 小林光一, Date: 1998-09-17, Rating: 3360, Black and White: 执黑, Result: 胜, Opponent: 赵治勋
Player: 小林光一, Date: 1998-09-06, Rating: 3359, Black and White: 执黑, Result: 负, Opponent: 小松英树
