Player: 谢赫, Date: 2007-08-18, Rating: 3486, Black and White: 执白, Result: 胜, Opponent: 黄晨
Player: 谢赫, Date: 2007-08-09, Rating: 3486, Black and White: 执白, Result: 负, Opponent: 李康
Player: 谢赫, Date: 2007-07-16, Rating: 3486, Black and White: 执白, Result: 负, Opponent: 邱峻
Player: 谢赫, Date: 2007-07-15, Rating: 3486, Black and White: 执白, Result: 胜, Opponent: 丁伟
Player: 谢赫, Date: 2007-07-12, Rating: 3486, Black and White: 执黑, Result: 胜, Opponent: 刘星
Player: 谢赫, Date: 2007-07-11, Rating: 3486, Black and White: 执白, Result: 胜, Opponent: 杨一80
Player: 谢赫, Date: 2007-07-07, Rating: 3486, Black and White: 执黑, Result: 胜, Opponent: 丁伟
Player: 谢赫, Date: 2007-06-30, Rating: 3486, Black and White: 执白, Result: 负, Opponent: 孔杰
Player: 谢赫, Date: 2007-06-23, Rating: 3486, Black and White: 执白, Result: 胜, Opponent: 朱元豪
Player: 谢赫, Date: 2007-06-16, Rating: 3486, Black and White: 执白, Result: 负, Opponent: 刘星
Player: 谢赫, Date: 2007-06-14, Rating: 3486, Black and White: 执白, Result: 负, Opponent: 胡耀宇
Player: 谢赫, Date: 2007-06-09, Rating: 3486, Black and White: 执白, Result: 胜, Opponent: 张伟金
Player: 谢赫, Date: 2007-06-06, Rating: 3486, Black and White: 执黑, Result: 负, Opponent: 朴正祥
Player: 谢赫, Date: 2007-06-04, Rating: 3486, Black and White: 执白, Result: 胜, Opponent: 李熙星
Player: 谢赫, Date: 2007-05-24, Rating: 3487, Black and White: 执白, Result: 负, Opponent: 李喆
Player: 谢赫, Date: 2007-05-19, Rating: 3487, Black and White: 执黑, Result: 胜, Opponent: 孟泰龄
Player: 谢赫, Date: 2007-05-12, Rating: 3488, Black and White: 执白, Result: 胜, Opponent: 古力
Player: 谢赫, Date: 2007-05-10, Rating: 3488, Black and White: 执白, Result: 胜, Opponent: 周振宇
Player: 谢赫, Date: 2007-05-10, Rating: 3488, Black and White: 执黑, Result: 胜, Opponent: 时越
Player: 谢赫, Date: 2007-05-09, Rating: 3488, Black and White: 执黑, Result: 胜, Opponent: 朱燕铭
Player: 谢赫, Date: 2007-04-30, Rating: 3488, Black and White: 执白, Result: 胜, Opponent: 朴升哲
Player: 谢赫, Date: 2007-04-08, Rating: 3488, Black and White: 执白, Result: 负, Opponent: 周振宇
Player: 谢赫, Date: 2007-04-03, Rating: 3489, Black and White: 执白, Result: 胜, Opponent: 朱元豪
Player: 谢赫, Date: 2007-04-02, Rating: 3489, Black and White: 执白, Result: 胜, Opponent: 邬光亚
Player: 谢赫, Date: 2007-03-28, Rating: 3489, Black and White: 执黑, Result: 负, Opponent: 王垚
Player: 谢赫, Date: 2007-03-25, Rating: 3489, Black and White: 执黑, Result: 胜, Opponent: 彭荃
Player: 谢赫, Date: 2007-02-05, Rating: 3491, Black and White: 执白, Result: 胜, Opponent: 俞斌
Player: 李昌镐, Date: 2007-12-06, Rating: 3512, Black and White: 执黑, Result: 胜, Opponent: 高根台
Player: 李昌镐, Date: 2007-12-03, Rating: 3512, Black and White: 执白, Result: 胜, Opponent: 赵汉乘
