Match,Distribution Type,Data Type,Parameter,Spearman Round Robin,Spearman Swiss Round,Spearman Double Elimination,Spearman Weighted Round Robin,Spearman Round Robin Knockout,Spearman Ladder Tournament
StarCraft,Uniform,Simulation Data,32,0.7255514705882353,0.6713235294117648,0.20812165775401067,0.47926136363636357,0.4139872994652407,0.05262366310160428
StarCraft,Uniform,Simulation Data,33,0.7148061497326206,0.6882185828877004,0.18841911764705882,0.5167112299465241,0.4141878342245989,0.07272727272727275
StarCraft,Uniform,Simulation Data,34,0.7043950534759358,0.7168449197860964,0.21839906417112295,0.4993315508021391,0.40970922459893044,0.05533088235294118
StarCraft,Uniform,Simulation Data,35,0.7051136363636366,0.7225935828877005,0.1869318181818182,0.42703877005347596,0.39027406417112304,0.03160093582887701
StarCraft,Uniform,Simulation Data,36,0.7203041443850268,0.7078041443850267,0.15895721925133693,0.4951370320855613,0.3954879679144386,0.11301804812834224
StarCraft,Uniform,Simulation Data,37,0.7241811497326203,0.709475267379679,0.1844418449197861,0.46333556149732624,0.4088569518716577,0.0740140374331551
StarCraft,Uniform,Simulation Data,38,0.7149565508021392,0.7466410427807487,0.20899064171122994,0.43902072192513364,0.42342914438502666,0.08310494652406417
StarCraft,Uniform,Simulation Data,39,0.7314839572192513,0.7261363636363636,0.15076871657754012,0.4328877005347593,0.3709893048128342,0.03656417112299465
StarCraft,Uniform,Simulation Data,40,0.7285762032085561,0.729946524064171,0.19620655080213906,0.4438168449197861,0.3585227272727273,0.06747994652406415
StarCraft,PL,Simulation Data,1,0.6529578877005348,0.6573529411764706,0.6100434491978609,0.6067346256684492,0.2729110962566845,0.25056818181818186
StarCraft,PL,Simulation Data,2,0.4073863636363636,0.4427807486631017,0.3649064171122995,0.32576871657754003,0.1794284759358289,0.11273395721925132
StarCraft,PL,Simulation Data,3,0.38701537433155087,0.3514371657754011,0.21908422459893045,0.3354110962566845,0.26370320855614976,0.026320187165775378
StarCraft,PL,Simulation Data,4,0.4011697860962567,0.34851270053475936,0.24727606951871667,0.356600935828877,0.3440508021390374,0.015508021390374327
StarCraft,PL,Simulation Data,5,0.4339572192513369,0.37072192513368984,0.16692847593582888,0.30934157754010694,0.37346256684491974,0.04364973262032086
StarCraft,PL,Simulation Data,6,0.3910762032085562,0.4016544117647059,0.17855949197860962,0.38780080213903745,0.403409090909091,0.019134358288770043
StarCraft,PL,Simulation Data,7,0.4324030748663101,0.34009024064171123,0.1745320855614973,0.3719418449197861,0.4285427807486631,-0.008706550802139034
StarCraft,PL,Simulation Data,8,0.45011697860962563,0.4103943850267379,0.15524732620320852,0.44176136363636365,0.4339906417112299,0.02396390374331552
StarCraft,PL,Simulation Data,9,0.438201871657754,0.40680147058823535,0.2387032085561497,0.3919953208556149,0.4401570855614974,-0.01106283422459895
StarCraft,PL,Simulation Data,10,0.44227941176470587,0.4304979946524064,0.20053475935828874,0.4392379679144384,0.3616310160427808,0.00762032085561497
StarCraft,PL,Simulation Data,11,0.5480280748663102,0.4963736631016043,0.20344251336898395,0.4710394385026738,0.44968248663101595,0.011731283422459882
StarCraft,PL,Simulation Data,12,0.5711564171122995,0.4634358288770052,0.18180147058823523,0.40638368983957224,0.408673128342246,-0.010461229946524042
StarCraft,PL,Simulation Data,13,0.5191510695187166,0.49247994652406424,0.22630347593582895,0.46214906417112306,0.4099097593582889,0.002439839572192515
