Player: 加藤正夫, Date: 1985-11-26, Rating: 3369, Black and White: 执白, Result: 负, Opponent: 小林光一
Player: 加藤正夫, Date: 1985-11-20, Rating: 3369, Black and White: 执黑, Result: 胜, Opponent: 桥本昌二
Player: 加藤正夫, Date: 1985-11-13, Rating: 3368, Black and White: 执黑, Result: 胜, Opponent: 武宫正树
Player: 加藤正夫, Date: 1985-11-07, Rating: 3368, Black and White: 执黑, Result: 胜, Opponent: 高原周二
Player: 加藤正夫, Date: 1985-10-31, Rating: 3367, Black and White: 执黑, Result: 胜, Opponent: 小林光一
Player: 加藤正夫, Date: 1985-10-17, Rating: 3365, Black and White: 执白, Result: 胜, Opponent: 林海峰
Player: 加藤正夫, Date: 1985-10-09, Rating: 3364, Black and White: 执白, Result: 胜, Opponent: 小林光一
Player: 加藤正夫, Date: 1985-09-19, Rating: 3361, Black and White: 执黑, Result: 胜, Opponent: 小林光一
Player: 加藤正夫, Date: 1985-09-12, Rating: 3360, Black and White: 执黑, Result: 负, Opponent: 杉内雅男
Player: 加藤正夫, Date: 1985-09-05, Rating: 3359, Black and White: 执黑, Result: 负, Opponent: 林海峰
Player: 加藤正夫, Date: 1985-08-29, Rating: 3358, Black and White: 执黑, Result: 负, Opponent: 聂卫平
Player: 加藤正夫, Date: 1985-08-22, Rating: 3357, Black and White: 执黑, Result: 胜, Opponent: 上村阳生
Player: 加藤正夫, Date: 1985-08-15, Rating: 3356, Black and White: 执白, Result: 胜, Opponent: 林海峰
Player: 加藤正夫, Date: 1985-07-11, Rating: 3352, Black and White: 执白, Result: 负, Opponent: 大竹英雄
Player: 加藤正夫, Date: 1985-06-27, Rating: 3350, Black and White: 执白, Result: 胜, Opponent: 中村秀仁
Player: 加藤正夫, Date: 1985-06-20, Rating: 3349, Black and White: 执黑, Result: 负, Opponent: 羽根泰正
Player: 加藤正夫, Date: 1985-06-13, Rating: 3349, Black and White: 执黑, Result: 负, Opponent: 大平修三
Player: 加藤正夫, Date: 1985-05-18, Rating: 3347, Black and White: 执黑, Result: 负, Opponent: 片冈聪
Player: 加藤正夫, Date: 1985-04-25, Rating: 3346, Black and White: 执黑, Result: 胜, Opponent: 小林光一
Player: 加藤正夫, Date: 1985-04-11, Rating: 3345, Black and White: 执白, Result: 负, Opponent: 大山国夫
Player: 加藤正夫, Date: 1985-03-17, Rating: 3344, Black and White: 执黑, Result: 负, Opponent: 石田芳夫
Player: 加藤正夫, Date: 1985-03-14, Rating: 3344, Black and White: 执白, Result: 胜, Opponent: 山城宏
Player: 加藤正夫, Date: 1985-03-10, Rating: 3344, Black and White: 执黑, Result: 负, Opponent: 赵治勋
Player: 加藤正夫, Date: 1985-03-10, Rating: 3344, Black and White: 执黑, Result: 负, Opponent: 林海峰
Player: 加藤正夫, Date: 1985-03-07, Rating: 3344, Black and White: 执白, Result: 胜, Opponent: 坂口隆三
