Player: 朴廷桓, Date: 2022-08-13, Rating: 3682, Black and White: 执黑, Result: 胜, Opponent: 一力辽
Player: 朴廷桓, Date: 2022-08-13, Rating: 3682, Black and White: 执白, Result: 胜, Opponent: 赵晨宇
Player: 朴廷桓, Date: 2022-08-11, Rating: 3682, Black and White: 执白, Result: 胜, Opponent: 李欣宸
Player: 朴廷桓, Date: 2022-08-10, Rating: 3682, Black and White: 执白, Result: 胜, Opponent: 张涛
Player: 朴廷桓, Date: 2022-08-09, Rating: 3682, Black and White: 执白, Result: 胜, Opponent: 沈沛然
Player: 朴廷桓, Date: 2022-08-08, Rating: 3682, Black and White: 执黑, Result: 负, Opponent: 谢尔豪
Player: 朴廷桓, Date: 2022-08-06, Rating: 3683, Black and White: 执白, Result: 胜, Opponent: 王硕00
Player: 朴廷桓, Date: 2022-08-05, Rating: 3683, Black and White: 执白, Result: 胜, Opponent: 辜梓豪
Player: 朴廷桓, Date: 2022-08-04, Rating: 3683, Black and White: 执黑, Result: 胜, Opponent: 江维杰
Player: 朴廷桓, Date: 2022-08-03, Rating: 3683, Black and White: 执黑, Result: 负, Opponent: 屠晓宇
Player: 朴廷桓, Date: 2022-07-27, Rating: 3683, Black and White: 执白, Result: 胜, Opponent: 姜升旼
Player: 朴廷桓, Date: 2022-07-24, Rating: 3683, Black and White: 执黑, Result: 胜, Opponent: 权孝珍(男)
Player: 朴廷桓, Date: 2022-07-22, Rating: 3683, Black and White: 执白, Result: 负, Opponent: 卞相壹
Player: 朴廷桓, Date: 2022-07-19, Rating: 3683, Black and White: 执黑, Result: 负, Opponent: 姜东润
Player: 朴廷桓, Date: 2022-07-18, Rating: 3683, Black and White: 执白, Result: 负, Opponent: 姜东润
Player: 朴廷桓, Date: 2022-07-15, Rating: 3683, Black and White: 执白, Result: 胜, Opponent: 柳珉滢
Player: 朴廷桓, Date: 2022-07-13, Rating: 3683, Black and White: 执白, Result: 胜, Opponent: 朴河旼
Player: 朴廷桓, Date: 2022-07-12, Rating: 3683, Black and White: 执黑, Result: 胜, Opponent: 申真谞
Player: 朴廷桓, Date: 2022-07-11, Rating: 3683, Black and White: 执黑, Result: 胜, Opponent: 赵完珪
Player: 朴廷桓, Date: 2022-07-04, Rating: 3684, Black and White: 执黑, Result: 胜, Opponent: 金明训
Player: 朴廷桓, Date: 2022-06-30, Rating: 3684, Black and White: 执黑, Result: 胜, Opponent: 金明训
Player: 朴廷桓, Date: 2022-06-24, Rating: 3684, Black and White: 执白, Result: 胜, Opponent: 文敏钟
Player: 朴廷桓, Date: 2022-06-15, Rating: 3684, Black and White: 执黑, Result: 胜, Opponent: 李志贤
Player: 朴廷桓, Date: 2022-06-13, Rating: 3684, Black and White: 执黑, Result: 胜, Opponent: 元晟溱
Player: 朴廷桓, Date: 2022-06-10, Rating: 3684, Black and White: 执白, Result: 胜, Opponent: 崔光户
Player: 朴廷桓, Date: 2022-06-01, Rating: 3684, Black and White: 执黑, Result: 负, Opponent: 姜东润
Player: 朴廷桓, Date: 2022-05-19, Rating: 3684, Black and White: 执黑, Result: 胜, Opponent: 金世东
Player: 朴廷桓, Date: 2022-05-16, Rating: 3684, Black and White: 执白, Result: 胜, Opponent: 李昌锡
Player: 朴廷桓, Date: 2022-05-12, Rating: 3684, Black and White: 执白, Result: 胜, Opponent: 元晟溱
Player: 朴廷桓, Date: 2022-05-10, Rating: 3684, Black and White: 执黑, Result: 负, Opponent: 姜东润
Player: 朴廷桓, Date: 2022-05-09, Rating: 3684, Black and White: 执黑, Result: 负, Opponent: 姜升旼
Player: 朴廷桓, Date: 2022-05-08, Rating: 3684, Black and White: 执白, Result: 胜, Opponent: 琴沚玗
Player: 朴廷桓, Date: 2022-05-06, Rating: 3685, Black and White: 执黑, Result: 负, Opponent: 卞相壹
Player: 朴廷桓, Date: 2022-05-02, Rating: 3685, Black and White: 执白, Result: 负, Opponent: 申旻埈
Player: 朴廷桓, Date: 2022-04-27, Rating: 3685, Black and White: 执白, Result: 胜, Opponent: 许荣珞
Player: 朴廷桓, Date: 2022-04-18, Rating: 3686, Black and White: 执黑, Result: 胜, Opponent: 李东勋
Player: 朴廷桓, Date: 2022-04-14, Rating: 3686, Black and White: 执黑, Result: 负, Opponent: 李昌锡
Player: 朴廷桓, Date: 2022-04-11, Rating: 3687, Black and White: 执白, Result: 胜, Opponent: 李东勋
Player: 朴廷桓, Date: 2022-04-07, Rating: 3687, Black and White: 执白, Result: 胜, Opponent: 尹灿熙
Player: 朴廷桓, Date: 2022-04-05, Rating: 3687, Black and White: 执黑, Result: 胜, Opponent: 金恩持
Player: 朴廷桓, Date: 2022-04-04, Rating: 3687, Black and White: 执白, Result: 胜, Opponent: 申旻埈
Player: 朴廷桓, Date: 2022-04-03, Rating: 3687, Black and White: 执白, Result: 负, Opponent: 申真谞
Player: 朴廷桓, Date: 2022-04-02, Rating: 3687, Black and White: 执白, Result: 胜, Opponent: 韩友赈
Player: 朴廷桓, Date: 2022-03-24, Rating: 3688, Black and White: 执白, Result: 负, Opponent: 李维清
Player: 朴廷桓, Date: 2022-03-17, Rating: 3689, Black and White: 执黑, Result: 胜, Opponent: 安成浚
Player: 朴廷桓, Date: 2022-03-16, Rating: 3689, Black and White: 执黑, Result: 胜, Opponent: 柳珉滢
Player: 朴廷桓, Date: 2022-03-14, Rating: 3689, Black and White: 执黑, Result: 胜, Opponent: 金志锡
Player: 朴廷桓, Date: 2022-03-11, Rating: 3689, Black and White: 执黑, Result: 负, Opponent: 朴键昊
Player: 朴廷桓, Date: 2022-03-08, Rating: 3689, Black and White: 执黑, Result: 胜, Opponent: 李东勋
Player: 朴廷桓, Date: 2022-03-07, Rating: 3689, Black and White: 执白, Result: 胜, Opponent: 李东勋
Player: 朴廷桓, Date: 2022-03-05, Rating: 3690, Black and White: 执黑, Result: 负, Opponent: 崔精
Player: 朴廷桓, Date: 2022-03-03, Rating: 3690, Black and White: 执白, Result: 胜, Opponent: 姜东润
Player: 朴廷桓, Date: 2022-02-27, Rating: 3690, Black and White: 执黑, Result: 胜, Opponent: 文敏钟
Player: 朴廷桓, Date: 2022-02-24, Rating: 3690, Black and White: 执白, Result: 负, Opponent: 朴永龙
Player: 朴廷桓, Date: 2022-02-22, Rating: 3691, Black and White: 执黑, Result: 胜, Opponent: 朴承华
Player: 朴廷桓, Date: 2022-02-20, Rating: 3691, Black and White: 执黑, Result: 胜, Opponent: 李东勋
Player: 朴廷桓, Date: 2022-02-17, Rating: 3691, Black and White: 执白, Result: 胜, Opponent: 韩尚勋
Player: 朴廷桓, Date: 2022-02-14, Rating: 3692, Black and White: 执黑, Result: 胜, Opponent: 洪茂镇
Player: 朴廷桓, Date: 2022-02-11, Rating: 3692, Black and White: 执黑, Result: 胜, Opponent: 宋知勋
Player: 朴廷桓, Date: 2022-02-06, Rating: 3692, Black and White: 执白, Result: 胜, Opponent: 洪性志
Player: 朴廷桓, Date: 2022-01-26, Rating: 3693, Black and White: 执黑, Result: 胜, Opponent: 赵汉乘
