Player: 李世石, Date: 2012-06-13, Rating: 3566, Black and White: 执白, Result: 胜, Opponent: 王垚
Player: 李世石, Date: 2012-06-11, Rating: 3566, Black and White: 执白, Result: 胜, Opponent: 白洪淅
Player: 李世石, Date: 2012-06-10, Rating: 3566, Black and White: 执黑, Result: 胜, Opponent: 罗洗河
Player: 李世石, Date: 2012-06-08, Rating: 3566, Black and White: 执白, Result: 胜, Opponent: 韩晗
Player: 李世石, Date: 2012-06-07, Rating: 3566, Black and White: 执白, Result: 胜, Opponent: 张维
Player: 李世石, Date: 2012-06-06, Rating: 3566, Black and White: 执黑, Result: 胜, Opponent: 甘思阳
Player: 李世石, Date: 2012-06-02, Rating: 3566, Black and White: 执黑, Result: 胜, Opponent: 尹峻相
Player: 李世石, Date: 2012-05-25, Rating: 3566, Black and White: 执白, Result: 负, Opponent: 范廷钰
Player: 李世石, Date: 2012-05-20, Rating: 3566, Black and White: 执白, Result: 胜, Opponent: 安祚永
Player: 李世石, Date: 2012-05-11, Rating: 3566, Black and White: 执白, Result: 负, Opponent: 元晟溱
Player: 李世石, Date: 2012-05-06, Rating: 3566, Black and White: 执黑, Result: 胜, Opponent: 朴永训
Player: 李世石, Date: 2012-05-05, Rating: 3566, Black and White: 执白, Result: 胜, Opponent: 朴永训
Player: 李世石, Date: 2012-05-01, Rating: 3566, Black and White: 执黑, Result: 负, Opponent: 朴永训
Player: 李世石, Date: 2012-04-30, Rating: 3566, Black and White: 执白, Result: 负, Opponent: 朴永训
Player: 李世石, Date: 2012-04-29, Rating: 3566, Black and White: 执白, Result: 胜, Opponent: 安国铉
Player: 李世石, Date: 2012-04-27, Rating: 3566, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 李世石, Date: 2012-04-25, Rating: 3566, Black and White: 执黑, Result: 胜, Opponent: 朴永训
Player: 李世石, Date: 2012-04-18, Rating: 3566, Black and White: 执白, Result: 胜, Opponent: 朴廷桓
Player: 李世石, Date: 2012-04-15, Rating: 3566, Black and White: 执黑, Result: 胜, Opponent: 赵汉乘
Player: 李世石, Date: 2012-04-04, Rating: 3566, Black and White: 执黑, Result: 胜, Opponent: 元晟溱
Player: 李世石, Date: 2012-03-30, Rating: 3565, Black and White: 执黑, Result: 胜, Opponent: 邱峻
Player: 李世石, Date: 2012-03-17, Rating: 3565, Black and White: 执白, Result: 负, Opponent: 党毅飞
Player: 李世石, Date: 2012-03-14, Rating: 3565, Black and White: 执黑, Result: 胜, Opponent: 马如龙
Player: 李世石, Date: 2012-03-03, Rating: 3564, Black and White: 执白, Result: 胜, Opponent: 时越
Player: 李世石, Date: 2012-02-09, Rating: 3563, Black and White: 执黑, Result: 胜, Opponent: 韩钟振
Player: 李世石, Date: 2012-02-06, Rating: 3563, Black and White: 执黑, Result: 负, Opponent: 白洪淅
Player: 李世石, Date: 2012-01-17, Rating: 3562, Black and White: 执黑, Result: 负, Opponent: 洪基杓
Player: 李世石, Date: 2012-01-12, Rating: 3562, Black and White: 执黑, Result: 负, Opponent: 崔哲瀚
Player: 李世石, Date: 2012-01-03, Rating: 3562, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 李世石, Date: 2012-01-02, Rating: 3562, Black and White: 执黑, Result: 胜, Opponent: 崔哲瀚
Player: 时越, Date: 2012-12-29, Rating: 3590, Black and White: 执黑, Result: 负, Opponent: 唐韦星
Player: 时越, Date: 2012-12-10, Rating: 3588, Black and White: 执白, Result: 负, Opponent: 柁嘉熹
Player: 时越, Date: 2012-12-08, Rating: 3588, Black and White: 执黑, Result: 胜, Opponent: 连笑
Player: 时越, Date: 2012-12-01, Rating: 3587, Black and White: 执白, Result: 负, Opponent: 檀啸
Player: 时越, Date: 2012-11-24, Rating: 3587, Black and White: 执黑, Result: 胜, Opponent: 朴廷桓
Player: 时越, Date: 2012-11-19, Rating: 3586, Black and White: 执白, Result: 胜, Opponent: 彭荃
Player: 时越, Date: 2012-11-10, Rating: 3585, Black and White: 执黑, Result: 胜, Opponent: 黄晨
Player: 时越, Date: 2012-11-07, Rating: 3585, Black and White: 执黑, Result: 胜, Opponent: 姜东润
Player: 时越, Date: 2012-11-05, Rating: 3585, Black and White: 执黑, Result: 胜, Opponent: 罗玄
Player: 时越, Date: 2012-10-29, Rating: 3584, Black and White: 执白, Result: 负, Opponent: 古力
Player: 时越, Date: 2012-10-26, Rating: 3583, Black and White: 执白, Result: 胜, Opponent: 孔杰
Player: 时越, Date: 2012-10-24, Rating: 3583, Black and White: 执白, Result: 胜, Opponent: 李轩豪
Player: 时越, Date: 2012-10-21, Rating: 3583, Black and White: 执白, Result: 负, Opponent: 古力
Player: 时越, Date: 2012-10-19, Rating: 3583, Black and White: 执白, Result: 胜, Opponent: 胡耀宇
Player: 时越, Date: 2012-10-18, Rating: 3582, Black and White: 执白, Result: 胜, Opponent: 古灵益
Player: 时越, Date: 2012-10-17, Rating: 3582, Black and White: 执黑, Result: 胜, Opponent: 胡煜清
Player: 时越, Date: 2012-10-14, Rating: 3582, Black and White: 执黑, Result: 负, Opponent: 唐韦星
Player: 时越, Date: 2012-10-13, Rating: 3582, Black and White: 执黑, Result: 胜, Opponent: 胡耀宇
Player: 时越, Date: 2012-10-09, Rating: 3581, Black and White: 执黑, Result: 负, Opponent: 姜东润
Player: 时越, Date: 2012-09-30, Rating: 3580, Black and White: 执黑, Result: 胜, Opponent: 范廷钰
Player: 时越, Date: 2012-09-28, Rating: 3580, Black and White: 执白, Result: 胜, Opponent: 赵汉乘
Player: 时越, Date: 2012-09-24, Rating: 3580, Black and White: 执白, Result: 胜, Opponent: 朴文垚
Player: 时越, Date: 2012-09-12, Rating: 3578, Black and White: 执黑, Result: 负, Opponent: 孟泰龄
Player: 时越, Date: 2012-09-10, Rating: 3578, Black and White: 执白, Result: 负, Opponent: 王檄
Player: 时越, Date: 2012-09-08, Rating: 3577, Black and White: 执黑, Result: 负, Opponent: 陈耀烨
Player: 时越, Date: 2012-09-05, Rating: 3577, Black and White: 执白, Result: 胜, Opponent: 谢赫
Player: 时越, Date: 2012-09-04, Rating: 3577, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 时越, Date: 2012-09-01, Rating: 3577, Black and White: 执白, Result: 胜, Opponent: 邱峻
Player: 时越, Date: 2012-08-30, Rating: 3577, Black and White: 执白, Result: 胜, Opponent: 周贺玺
Player: 时越, Date: 2012-08-27, Rating: 3576, Black and White: 执黑, Result: 负, Opponent: 孟泰龄
Player: 时越, Date: 2012-08-25, Rating: 3576, Black and White: 执黑, Result: 胜, Opponent: 牛雨田
Player: 时越, Date: 2012-08-22, Rating: 3576, Black and White: 执黑, Result: 胜, Opponent: 孔杰
Player: 时越, Date: 2012-08-19, Rating: 3575, Black and White: 执白, Result: 负, Opponent: 陈耀烨
Player: 时越, Date: 2012-08-10, Rating: 3575, Black and White: 执白, Result: 胜, Opponent: 古力
Player: 时越, Date: 2012-08-06, Rating: 3574, Black and White: 执黑, Result: 胜, Opponent: 金显灿
Player: 时越, Date: 2012-07-30, Rating: 3573, Black and White: 执白, Result: 负, Opponent: 江维杰
Player: 时越, Date: 2012-07-29, Rating: 3573, Black and White: 执白, Result: 胜, Opponent: 王檄
Player: 时越, Date: 2012-07-28, Rating: 3573, Black and White: 执黑, Result: 胜, Opponent: 王垚
Player: 时越, Date: 2012-07-27, Rating: 3573, Black and White: 执黑, Result: 胜, Opponent: 谢赫
Player: 时越, Date: 2012-07-15, Rating: 3572, Black and White: 执白, Result: 负, Opponent: 连笑
Player: 时越, Date: 2012-07-13, Rating: 3571, Black and White: 执黑, Result: 胜, Opponent: 檀啸
Player: 时越, Date: 2012-07-09, Rating: 3571, Black and White: 执白, Result: 负, Opponent: 罗洗河
Player: 时越, Date: 2012-07-07, Rating: 3571, Black and White: 执白, Result: 胜, Opponent: 李康
Player: 时越, Date: 2012-07-05, Rating: 3571, Black and White: 执白, Result: 胜, Opponent: 俞斌
Player: 时越, Date: 2012-07-03, Rating: 3570, Black and White: 执白, Result: 胜, Opponent: 黄云嵩
Player: 时越, Date: 2012-06-30, Rating: 3570, Black and White: 执黑, Result: 胜, Opponent: 崔哲瀚
Player: 时越, Date: 2012-06-27, Rating: 3570, Black and White: 执黑, Result: 负, Opponent: 郑淼鑫
Player: 时越, Date: 2012-06-23, Rating: 3569, Black and White: 执白, Result: 胜, Opponent: 元晟溱
Player: 时越, Date: 2012-06-20, Rating: 3569, Black and White: 执黑, Result: 胜, Opponent: 李世石
Player: 时越, Date: 2012-06-18, Rating: 3569, Black and White: 执黑, Result: 胜, Opponent: 结城聪
Player: 时越, Date: 2012-06-14, Rating: 3568, Black and White: 执黑, Result: 胜, Opponent: 古力
Player: 时越, Date: 2012-06-09, Rating: 3567, Black and White: 执白, Result: 负, Opponent: 范廷钰
Player: 时越, Date: 2012-06-01, Rating: 3566, Black and White: 执黑, Result: 负, Opponent: 李轩豪
Player: 时越, Date: 2012-05-07, Rating: 3564, Black and White: 执白, Result: 胜, Opponent: 孔杰
